Accession,Species,Genus,Family,Length,Host,GenBank_Title
MK448367,Streptococcus satellite phage Javan217,,,9420,Streptococcus equinus,"Streptococcus satellite phage Javan217, complete genome"
MK448368,Streptococcus satellite phage Javan218,,,12126,Streptococcus equinus,"Streptococcus satellite phage Javan218, complete genome"
MK448369,Streptococcus satellite phage Javan219,,,11081,Streptococcus equinus,"Streptococcus satellite phage Javan219, complete genome"
MK448370,Streptococcus satellite phage Javan22,,,14082,Streptococcus agalactiae CCUG 37736,"Streptococcus satellite phage Javan22, complete genome"
MK448371,Streptococcus satellite phage Javan222,,,9600,Streptococcus gallolyticus,"Streptococcus satellite phage Javan222, complete genome"
MK448372,Streptococcus satellite phage Javan223,,,9602,Streptococcus gallolyticus,"Streptococcus satellite phage Javan223, complete genome"
MK448373,Streptococcus satellite phage Javan225,,,9656,Streptococcus gallolyticus,"Streptococcus satellite phage Javan225, complete genome"
MK448374,Streptococcus satellite phage Javan228,,,10327,Streptococcus gallolyticus,"Streptococcus satellite phage Javan228, complete genome"
MK448375,Streptococcus satellite phage Javan229,,,9600,Streptococcus gallolyticus,"Streptococcus satellite phage Javan229, complete genome"
MK448376,Streptococcus satellite phage Javan230,,,10273,Streptococcus gallolyticus,"Streptococcus satellite phage Javan230, complete genome"
MK448377,Streptococcus satellite phage Javan232,,,9588,Streptococcus gallolyticus,"Streptococcus satellite phage Javan232, complete genome"
MK448378,Streptococcus satellite phage Javan234,,,9588,Streptococcus gallolyticus,"Streptococcus satellite phage Javan234, complete genome"
MK448379,Streptococcus satellite phage Javan236,,,9600,Streptococcus gallolyticus UCN34,"Streptococcus satellite phage Javan236, complete genome"
MK448380,Streptococcus satellite phage Javan24,,,14270,Streptococcus agalactiae CCUG 39096 A,"Streptococcus satellite phage Javan24, complete genome"
MK448381,Streptococcus satellite phage Javan243,,,10362,Streptococcus gordonii,"Streptococcus satellite phage Javan243, complete genome"
MK448382,Streptococcus satellite phage Javan245,,,6450,Streptococcus gordonii,"Streptococcus satellite phage Javan245, complete genome"
MK448383,Streptococcus satellite phage Javan248,,,13395,Streptococcus gordonii,"Streptococcus satellite phage Javan248, complete genome"
MK448384,Streptococcus satellite phage Javan250,,,15611,Streptococcus halotolerans,"Streptococcus satellite phage Javan250, complete genome"
MK448385,Streptococcus satellite phage Javan251,,,10820,Streptococcus halotolerans,"Streptococcus satellite phage Javan251, complete genome"
MK448386,Streptococcus satellite phage Javan256,,,13321,Streptococcus himalayensis,"Streptococcus satellite phage Javan256, complete genome"
MK448387,Streptococcus satellite phage Javan257,,,10300,Streptococcus himalayensis,"Streptococcus satellite phage Javan257, complete genome"
MK448388,Streptococcus satellite phage Javan259,,,12747,Streptococcus hyovaginalis DSM 12219,"Streptococcus satellite phage Javan259, complete genome"
MK448389,Streptococcus satellite phage Javan260,,,11613,Streptococcus hyovaginalis DSM 12219,"Streptococcus satellite phage Javan260, complete genome"
MK448390,Streptococcus satellite phage Javan265,,,9627,Streptococcus infantarius,"Streptococcus satellite phage Javan265, complete genome"
MK448391,Streptococcus satellite phage Javan267,,,11158,Streptococcus infantis,"Streptococcus satellite phage Javan267, complete genome"
MK448392,Streptococcus satellite phage Javan27,,,14841,Streptococcus agalactiae,"Streptococcus satellite phage Javan27, complete genome"
MK448393,Streptococcus satellite phage Javan276,,,12203,Streptococcus iniae,"Streptococcus satellite phage Javan276, complete genome"
MK448394,Streptococcus satellite phage Javan277,,,14560,Streptococcus intermedius SK54 = ATCC 27335,"Streptococcus satellite phage Javan277, complete genome"
MK448395,Streptococcus satellite phage Javan279,,,10809,Streptococcus intermedius F0413,"Streptococcus satellite phage Javan279, complete genome"
MK448396,Streptococcus satellite phage Javan280,,,14560,Streptococcus intermedius JTH08,"Streptococcus satellite phage Javan280, complete genome"
MK448397,Streptococcus satellite phage Javan281,,,14560,Streptococcus intermedius SK54 = ATCC 27335,"Streptococcus satellite phage Javan281, complete genome"
MK448398,Streptococcus satellite phage Javan282,,,14560,Streptococcus intermedius,"Streptococcus satellite phage Javan282, complete genome"
MK448399,Streptococcus satellite phage Javan283,,,14560,Streptococcus intermedius,"Streptococcus satellite phage Javan283, complete genome"
MK448400,Streptococcus satellite phage Javan285,,,10789,Streptococcus lutetiensis,"Streptococcus satellite phage Javan285, complete genome"
MK448401,Streptococcus satellite phage Javan286,,,12433,Streptococcus lutetiensis,"Streptococcus satellite phage Javan286, complete genome"
MK448402,Streptococcus satellite phage Javan287,,,9421,Streptococcus lutetiensis,"Streptococcus satellite phage Javan287, complete genome"
MK448403,Streptococcus satellite phage Javan289,,,10632,Streptococcus macedonicus,"Streptococcus satellite phage Javan289, complete genome"
MK448404,Streptococcus satellite phage Javan292,,,13506,Streptococcus marmotae,"Streptococcus satellite phage Javan292, complete genome"
MK448405,Streptococcus satellite phage Javan293,,,14670,Streptococcus marmotae,"Streptococcus satellite phage Javan293, complete genome"
MK448406,Streptococcus satellite phage Javan294,,,10429,Streptococcus merionis DSM 19192,"Streptococcus satellite phage Javan294, complete genome"
MK448407,Streptococcus satellite phage Javan295,,,11176,Streptococcus mitis,"Streptococcus satellite phage Javan295, complete genome"
MK448408,Streptococcus satellite phage Javan296,,,12891,Streptococcus mitis,"Streptococcus satellite phage Javan296, complete genome"
MK448409,Streptococcus satellite phage Javan297,,,11749,Streptococcus mitis,"Streptococcus satellite phage Javan297, complete genome"
MK448410,Streptococcus satellite phage Javan298,,,11622,Streptococcus mitis,"Streptococcus satellite phage Javan298, complete genome"
MK448411,Streptococcus satellite phage Javan299,,,10689,Streptococcus mitis,"Streptococcus satellite phage Javan299, complete genome"
MK448412,Streptococcus satellite phage Javan30,,,13799,Streptococcus agalactiae,"Streptococcus satellite phage Javan30, complete genome"
MK448413,Streptococcus satellite phage Javan300,,,10988,Streptococcus mitis,"Streptococcus satellite phage Javan300, complete genome"
MK448414,Streptococcus satellite phage Javan301,,,11271,Streptococcus mitis,"Streptococcus satellite phage Javan301, complete genome"
MK448415,Streptococcus satellite phage Javan302,,,12024,Streptococcus mitis,"Streptococcus satellite phage Javan302, complete genome"
MK448416,Streptococcus satellite phage Javan303,,,12236,Streptococcus mitis,"Streptococcus satellite phage Javan303, complete genome"
MK448417,Streptococcus satellite phage Javan304,,,12001,Streptococcus mitis,"Streptococcus satellite phage Javan304, complete genome"
MK448418,Streptococcus satellite phage Javan305,,,13486,Streptococcus mitis,"Streptococcus satellite phage Javan305, complete genome"
MK448419,Streptococcus satellite phage Javan307,,,10323,Streptococcus mitis,"Streptococcus satellite phage Javan307, complete genome"
MK448420,Streptococcus satellite phage Javan309,,,14007,Streptococcus mitis B6,"Streptococcus satellite phage Javan309, complete genome"
MK448421,Streptococcus satellite phage Javan312,,,8688,Streptococcus mitis,"Streptococcus satellite phage Javan312, complete genome"
MK448422,Streptococcus satellite phage Javan313,,,13409,Streptococcus mitis,"Streptococcus satellite phage Javan313, complete genome"
MK448423,Streptococcus satellite phage Javan314,,,10420,Streptococcus mitis,"Streptococcus satellite phage Javan314, complete genome"
MK448424,Streptococcus satellite phage Javan315,,,9486,Streptococcus mitis,"Streptococcus satellite phage Javan315, complete genome"
MK448425,Streptococcus satellite phage Javan317,,,12027,Streptococcus mitis,"Streptococcus satellite phage Javan317, complete genome"
MK448426,Streptococcus satellite phage Javan319,,,9989,Streptococcus mitis,"Streptococcus satellite phage Javan319, complete genome"
MK448427,Streptococcus satellite phage Javan321,,,18078,Streptococcus mitis,"Streptococcus satellite phage Javan321, complete genome"
MK448428,Streptococcus satellite phage Javan322,,,12183,Streptococcus mitis,"Streptococcus satellite phage Javan322, complete genome"
MK448429,Streptococcus satellite phage Javan323,,,15903,Streptococcus mitis,"Streptococcus satellite phage Javan323, complete genome"
MK448430,Streptococcus satellite phage Javan324,,,11517,Streptococcus mitis,"Streptococcus satellite phage Javan324, complete genome"
MK448431,Streptococcus satellite phage Javan325,,,12881,Streptococcus mitis,"Streptococcus satellite phage Javan325, complete genome"
MK448432,Streptococcus satellite phage Javan327,,,9874,Streptococcus mitis,"Streptococcus satellite phage Javan327, complete genome"
MK448433,Streptococcus satellite phage Javan328,,,9893,Streptococcus mitis SK1080,"Streptococcus satellite phage Javan328, complete genome"
MK448434,Streptococcus satellite phage Javan329,,,11564,Streptococcus mitis SK1080,"Streptococcus satellite phage Javan329, complete genome"
MK448435,Streptococcus satellite phage Javan332,,,14024,Streptococcus mitis SK321,"Streptococcus satellite phage Javan332, complete genome"
MK448436,Streptococcus satellite phage Javan333,,,11701,Streptococcus mitis SK564,"Streptococcus satellite phage Javan333, complete genome"
MK448437,Streptococcus satellite phage Javan334,,,12235,Streptococcus mitis SK569,"Streptococcus satellite phage Javan334, complete genome"
MK448438,Streptococcus satellite phage Javan335,,,12473,Streptococcus mitis SK575,"Streptococcus satellite phage Javan335, complete genome"
MK448439,Streptococcus satellite phage Javan337,,,11486,Streptococcus mitis,"Streptococcus satellite phage Javan337, complete genome"
MK448440,Streptococcus satellite phage Javan338,,,12236,Streptococcus mitis SK616,"Streptococcus satellite phage Javan338, complete genome"
MK448441,Streptococcus satellite phage Javan339,,,12878,Streptococcus mitis,"Streptococcus satellite phage Javan339, complete genome"
MK448442,Streptococcus satellite phage Javan341,,,15189,Streptococcus mitis,"Streptococcus satellite phage Javan341, complete genome"
MK448443,Streptococcus satellite phage Javan342,,,10319,Streptococcus cristatus AS 1.3089,"Streptococcus satellite phage Javan342, complete genome"
MK448444,Streptococcus satellite phage Javan343,,,9131,Streptococcus oralis,"Streptococcus satellite phage Javan343, complete genome"
MK448445,Streptococcus satellite phage Javan344,,,13470,Streptococcus oralis,"Streptococcus satellite phage Javan344, complete genome"
MK448446,Streptococcus satellite phage Javan352,,,11734,Streptococcus oralis,"Streptococcus satellite phage Javan352, complete genome"
MK448447,Streptococcus satellite phage Javan353,,,11817,Streptococcus oralis,"Streptococcus satellite phage Javan353, complete genome"
MK448448,Streptococcus satellite phage Javan354,,,10251,Streptococcus oralis,"Streptococcus satellite phage Javan354, complete genome"
MK448449,Streptococcus satellite phage Javan356,,,9340,Streptococcus oralis,"Streptococcus satellite phage Javan356, complete genome"
MK448450,Streptococcus satellite phage Javan357,,,10884,Streptococcus oralis,"Streptococcus satellite phage Javan357, complete genome"
MK448451,Streptococcus satellite phage Javan358,,,12166,Streptococcus oralis,"Streptococcus satellite phage Javan358, complete genome"
MK448452,Streptococcus satellite phage Javan359,,,11820,Streptococcus oralis,"Streptococcus satellite phage Javan359, complete genome"
MK448453,Streptococcus satellite phage Javan360,,,15342,Streptococcus oralis,"Streptococcus satellite phage Javan360, complete genome"
MK448454,Streptococcus satellite phage Javan361,,,9979,Streptococcus oralis,"Streptococcus satellite phage Javan361, complete genome"
MK448455,Streptococcus satellite phage Javan364,,,10972,Streptococcus oralis,"Streptococcus satellite phage Javan364, complete genome"
MK448456,Streptococcus satellite phage Javan365,,,12167,Streptococcus oralis SK304,"Streptococcus satellite phage Javan365, complete genome"
MK448457,Streptococcus satellite phage Javan368,,,14257,Streptococcus oralis,"Streptococcus satellite phage Javan368, complete genome"
MK448458,Streptococcus satellite phage Javan373,,,8636,Streptococcus parasanguinis,"Streptococcus satellite phage Javan373, complete genome"
MK448459,Streptococcus satellite phage Javan375,,,12015,Streptococcus parasanguinis ATCC 15912,"Streptococcus satellite phage Javan375, complete genome"
MK448460,Streptococcus satellite phage Javan376,,,8637,Streptococcus parasanguinis CC87K,"Streptococcus satellite phage Javan376, complete genome"
MK448461,Streptococcus satellite phage Javan378,,,7691,Streptococcus parasanguinis,"Streptococcus satellite phage Javan378, complete genome"
MK448462,Streptococcus satellite phage Javan379,,,10992,Streptococcus parasanguinis,"Streptococcus satellite phage Javan379, complete genome"
MK448463,Streptococcus satellite phage Javan382,,,8637,Streptococcus parasanguinis,"Streptococcus satellite phage Javan382, complete genome"
MK448464,Streptococcus satellite phage Javan387,,,15996,Streptococcus parauberis KCTC 11537,"Streptococcus satellite phage Javan387, complete genome"
MK448465,Streptococcus satellite phage Javan388,,,13023,Streptococcus parauberis KCTC 11537,"Streptococcus satellite phage Javan388, complete genome"
MK448466,Streptococcus satellite phage Javan390,,,12913,Streptococcus parauberis KCTC 11980BP,"Streptococcus satellite phage Javan390, complete genome"
MK448467,Streptococcus satellite phage Javan391,,,15724,Streptococcus parauberis KCTC 11980BP,"Streptococcus satellite phage Javan391, complete genome"
MK448468,Streptococcus satellite phage Javan395,,,12919,Streptococcus parauberis KRS-02083,"Streptococcus satellite phage Javan395, complete genome"
MK448469,Streptococcus satellite phage Javan396,,,16184,Streptococcus parauberis KRS-02083,"Streptococcus satellite phage Javan396, complete genome"
MK448470,Streptococcus satellite phage Javan397,,,11901,Streptococcus parauberis KRS-02109,"Streptococcus satellite phage Javan397, complete genome"
MK448471,Streptococcus satellite phage Javan398,,,14097,Streptococcus parauberis KRS-02109,"Streptococcus satellite phage Javan398, complete genome"
MK448472,Streptococcus satellite phage Javan4,,,14579,Streptococcus agalactiae 09mas018883,"Streptococcus satellite phage Javan4, complete genome"
MK448473,Streptococcus satellite phage Javan401,,,10202,Streptococcus parauberis NCFD 2020,"Streptococcus satellite phage Javan401, complete genome"
MK448474,Streptococcus satellite phage Javan402,,,14173,Streptococcus parauberis NCFD 2020,"Streptococcus satellite phage Javan402, complete genome"
MK448475,Streptococcus satellite phage Javan403,,,16457,Streptococcus parauberis,"Streptococcus satellite phage Javan403, complete genome"
MK448476,Streptococcus satellite phage Javan404,,,13027,Streptococcus parauberis,"Streptococcus satellite phage Javan404, complete genome"
MK448477,Streptococcus satellite phage Javan408,,,9180,Streptococcus parauberis,"Streptococcus satellite phage Javan408, complete genome"
MK448478,Streptococcus satellite phage Javan409,,,17140,Streptococcus parauberis,"Streptococcus satellite phage Javan409, complete genome"
MK448479,Streptococcus satellite phage Javan41,,,13799,Streptococcus agalactiae,"Streptococcus satellite phage Javan41, complete genome"
MK448480,Streptococcus satellite phage Javan410,,,17062,Streptococcus parauberis,"Streptococcus satellite phage Javan410, complete genome"
MK448481,Streptococcus satellite phage Javan412,,,13211,Streptococcus parauberis,"Streptococcus satellite phage Javan412, complete genome"
MK448482,Streptococcus satellite phage Javan413,,,7378,Streptococcus parauberis,"Streptococcus satellite phage Javan413, complete genome"
MK448483,Streptococcus satellite phage Javan415,,,9907,Streptococcus pasteurianus,"Streptococcus satellite phage Javan415, complete genome"
MK448484,Streptococcus satellite phage Javan416,,,13023,Streptococcus pasteurianus,"Streptococcus satellite phage Javan416, complete genome"
MK448485,Streptococcus satellite phage Javan417,,,9732,Streptococcus pasteurianus,"Streptococcus satellite phage Javan417, complete genome"
MK448486,Streptococcus satellite phage Javan418,,,9434,Streptococcus pasteurianus,"Streptococcus satellite phage Javan418, complete genome"
MK448487,Streptococcus satellite phage Javan419,,,12626,Streptococcus phocae,"Streptococcus satellite phage Javan419, complete genome"
MK448488,Streptococcus satellite phage Javan421,,,13633,Streptococcus plurextorum DSM 22810,"Streptococcus satellite phage Javan421, complete genome"
MK448489,Streptococcus satellite phage Javan428,,,13493,Streptococcus pseudopneumoniae 22725,"Streptococcus satellite phage Javan428, complete genome"
MK448490,Streptococcus satellite phage Javan429,,,9531,Streptococcus pseudopneumoniae,"Streptococcus satellite phage Javan429, complete genome"
MK448491,Streptococcus satellite phage Javan43,,,13282,Streptococcus agalactiae,"Streptococcus satellite phage Javan43, complete genome"
MK448492,Streptococcus satellite phage Javan430,,,12231,Streptococcus pseudopneumoniae,"Streptococcus satellite phage Javan430, complete genome"
MK448493,Streptococcus satellite phage Javan431,,,9035,Streptococcus pseudopneumoniae,"Streptococcus satellite phage Javan431, complete genome"
MK448494,Streptococcus satellite phage Javan432,,,12949,Streptococcus pseudopneumoniae ATCC BAA-960 = CCUG 49455,"Streptococcus satellite phage Javan432, complete genome"
MK448495,Streptococcus satellite phage Javan434,,,11832,Streptococcus pseudopneumoniae,"Streptococcus satellite phage Javan434, complete genome"
MK448496,Streptococcus satellite phage Javan435,,,11933,Streptococcus pseudopneumoniae,"Streptococcus satellite phage Javan435, complete genome"
MK448497,Streptococcus satellite phage Javan437,,,12875,Streptococcus pseudopneumoniae IS7493,"Streptococcus satellite phage Javan437, complete genome"
MK448498,Streptococcus satellite phage Javan438,,,12949,Streptococcus pseudopneumoniae,"Streptococcus satellite phage Javan438, complete genome"
MK448499,Streptococcus satellite phage Javan441,,,8343,Streptococcus pseudoporcinus LQ 940-04,"Streptococcus satellite phage Javan441, complete genome"
MK448500,Streptococcus satellite phage Javan442,,,8343,Streptococcus pseudoporcinus SPIN 20026,"Streptococcus satellite phage Javan442, complete genome"
MK448501,Streptococcus satellite phage Javan449,,,14286,Streptococcus pyogenes Alab49,"Streptococcus satellite phage Javan449, complete genome"
MK448502,Streptococcus satellite phage Javan45,,,13799,Streptococcus agalactiae GB00082,"Streptococcus satellite phage Javan45, complete genome"
MK448503,Streptococcus satellite phage Javan453,,,10708,Streptococcus pyogenes,"Streptococcus satellite phage Javan453, complete genome"
MK448504,Streptococcus satellite phage Javan455,,,13122,Streptococcus pyogenes,"Streptococcus satellite phage Javan455, complete genome"
MK448505,Streptococcus satellite phage Javan461,,,11942,Streptococcus pyogenes,"Streptococcus satellite phage Javan461, complete genome"
MK448506,Streptococcus satellite phage Javan462,,,11958,Streptococcus pyogenes,"Streptococcus satellite phage Javan462, complete genome"
MK448507,Streptococcus satellite phage Javan463,,,15425,Streptococcus pyogenes,"Streptococcus satellite phage Javan463, complete genome"
MK448508,Streptococcus satellite phage Javan466,,,13390,Streptococcus pyogenes,"Streptococcus satellite phage Javan466, complete genome"
MK448509,Streptococcus satellite phage Javan468,,,9886,Streptococcus pyogenes,"Streptococcus satellite phage Javan468, complete genome"
MK448510,Streptococcus satellite phage Javan469,,,13870,Streptococcus pyogenes,"Streptococcus satellite phage Javan469, complete genome"
MK448511,Streptococcus satellite phage Javan473,,,13209,Streptococcus pyogenes,"Streptococcus satellite phage Javan473, complete genome"
MK448512,Streptococcus satellite phage Javan475,,,13504,Streptococcus pyogenes,"Streptococcus satellite phage Javan475, complete genome"
MK448513,Streptococcus satellite phage Javan479,,,11389,Streptococcus pyogenes,"Streptococcus satellite phage Javan479, complete genome"
MK448514,Streptococcus satellite phage Javan480,,,12900,Streptococcus pyogenes,"Streptococcus satellite phage Javan480, complete genome"
MK448515,Streptococcus satellite phage Javan482,,,11555,Streptococcus pyogenes,"Streptococcus satellite phage Javan482, complete genome"
MK448516,Streptococcus satellite phage Javan490,,,12950,Streptococcus pyogenes M1 GAS,"Streptococcus satellite phage Javan490, complete genome"
MK448517,Streptococcus satellite phage Javan495,,,11944,Streptococcus pyogenes str. Manfredo,"Streptococcus satellite phage Javan495, complete genome"
MK448518,Streptococcus satellite phage Javan50,,,13762,Streptococcus agalactiae GB00901,"Streptococcus satellite phage Javan50, complete genome"
MK448519,Streptococcus satellite phage Javan500,,,13287,Streptococcus pyogenes MGAS10394,"Streptococcus satellite phage Javan500, complete genome"
MK448520,Streptococcus satellite phage Javan504,,,13504,Streptococcus pyogenes MGAS10750,"Streptococcus satellite phage Javan504, complete genome"
MK448521,Streptococcus satellite phage Javan518,,,13965,Streptococcus pyogenes MGAS6180,"Streptococcus satellite phage Javan518, complete genome"
MK448522,Streptococcus satellite phage Javan519,,,11389,Streptococcus pyogenes MGAS6180,"Streptococcus satellite phage Javan519, complete genome"
MK448523,Streptococcus satellite phage Javan529,,,15150,Streptococcus pyogenes NZ131,"Streptococcus satellite phage Javan529, complete genome"
MK448524,Streptococcus satellite phage Javan537,,,10344,Streptococcus salivarius K12,"Streptococcus satellite phage Javan537, complete genome"
MK448525,Streptococcus satellite phage Javan538,,,9946,Streptococcus salivarius,"Streptococcus satellite phage Javan538, complete genome"
MK448526,Streptococcus satellite phage Javan54,,,16670,Streptococcus agalactiae ILRI005,"Streptococcus satellite phage Javan54, complete genome"
MK448527,Streptococcus satellite phage Javan540,,,9008,Streptococcus salivarius,"Streptococcus satellite phage Javan540, complete genome"
MK448528,Streptococcus satellite phage Javan541,,,9008,Streptococcus salivarius,"Streptococcus satellite phage Javan541, complete genome"
MK448529,Streptococcus satellite phage Javan542,,,11884,Streptococcus sanguinis,"Streptococcus satellite phage Javan542, complete genome"
MK448530,Streptococcus satellite phage Javan543,,,12384,Streptococcus sanguinis,"Streptococcus satellite phage Javan543, complete genome"
MK448531,Streptococcus satellite phage Javan544,,,11884,Streptococcus sanguinis,"Streptococcus satellite phage Javan544, complete genome"
MK448532,Streptococcus satellite phage Javan545,,,9761,Streptococcus sanguinis,"Streptococcus satellite phage Javan545, complete genome"
MK448533,Streptococcus satellite phage Javan546,,,12384,Streptococcus sanguinis SK1056,"Streptococcus satellite phage Javan546, complete genome"
MK448534,Streptococcus satellite phage Javan547,,,9720,Streptococcus sanguinis SK160,"Streptococcus satellite phage Javan547, complete genome"
MK448535,Streptococcus satellite phage Javan550,,,10617,Streptococcus suis,"Streptococcus satellite phage Javan550, complete genome"
MK448536,Streptococcus satellite phage Javan552,,,11341,Streptococcus suis 05ZYH33,"Streptococcus satellite phage Javan552, complete genome"
MK448537,Streptococcus satellite phage Javan555,,,10038,Streptococcus suis 98HAH33,"Streptococcus satellite phage Javan555, complete genome"
MK448538,Streptococcus satellite phage Javan556,,,10042,Streptococcus suis A7,"Streptococcus satellite phage Javan556, complete genome"
MK448539,Streptococcus satellite phage Javan557,,,10063,Streptococcus suis BM407,"Streptococcus satellite phage Javan557, complete genome"
MK448540,Streptococcus satellite phage Javan559,,,9196,Streptococcus suis,"Streptococcus satellite phage Javan559, complete genome"
MK448541,Streptococcus satellite phage Javan56,,,13799,Streptococcus agalactiae SGBS026,"Streptococcus satellite phage Javan56, complete genome"
MK448542,Streptococcus satellite phage Javan560,,,8750,Streptococcus suis,"Streptococcus satellite phage Javan560, complete genome"
MK448543,Streptococcus satellite phage Javan561,,,10042,Streptococcus suis,"Streptococcus satellite phage Javan561, complete genome"
MK448544,Streptococcus satellite phage Javan564,,,9994,Streptococcus suis,"Streptococcus satellite phage Javan564, complete genome"
MK448545,Streptococcus satellite phage Javan568,,,10042,Streptococcus suis,"Streptococcus satellite phage Javan568, complete genome"
MK448546,Streptococcus satellite phage Javan571,,,10757,Streptococcus suis,"Streptococcus satellite phage Javan571, complete genome"
MK448547,Streptococcus satellite phage Javan572,,,10617,Streptococcus suis,"Streptococcus satellite phage Javan572, complete genome"
MK448548,Streptococcus satellite phage Javan574,,,10592,Streptococcus suis,"Streptococcus satellite phage Javan574, complete genome"
MK448549,Streptococcus satellite phage Javan58,,,13799,Streptococcus agalactiae SGBS029,"Streptococcus satellite phage Javan58, complete genome"
MK448550,Streptococcus satellite phage Javan581,,,11346,Streptococcus suis,"Streptococcus satellite phage Javan581, complete genome"
MK448551,Streptococcus satellite phage Javan582,,,10042,Streptococcus suis,"Streptococcus satellite phage Javan582, complete genome"
MK448552,Streptococcus satellite phage Javan586,,,8441,Streptococcus suis,"Streptococcus satellite phage Javan586, complete genome"
MK448553,Streptococcus satellite phage Javan588,,,9159,Streptococcus suis ST3,"Streptococcus satellite phage Javan588, complete genome"
MK448554,Streptococcus satellite phage Javan591,,,9714,Streptococcus suis T15,"Streptococcus satellite phage Javan591, complete genome"
MK448555,Streptococcus satellite phage Javan592,,,10616,Streptococcus suis T15,"Streptococcus satellite phage Javan592, complete genome"
MK448556,Streptococcus satellite phage Javan593,,,13272,Streptococcus suis TL13,"Streptococcus satellite phage Javan593, complete genome"
MK448557,Streptococcus satellite phage Javan594,,,10319,Streptococcus suis TL13,"Streptococcus satellite phage Javan594, complete genome"
MK448558,Streptococcus satellite phage Javan595,,,9201,Streptococcus suis TL13,"Streptococcus satellite phage Javan595, complete genome"
MK448559,Streptococcus satellite phage Javan596,,,9159,Streptococcus suis YB51,"Streptococcus satellite phage Javan596, complete genome"
MK448560,Streptococcus satellite phage Javan598,,,11817,Streptococcus suis YS39,"Streptococcus satellite phage Javan598, complete genome"
MK448561,Streptococcus satellite phage Javan60,,,9150,Streptococcus anginosus 1505,"Streptococcus satellite phage Javan60, complete genome"
MK448562,Streptococcus satellite phage Javan600,,,7682,Streptococcus thermophilus 1F8CT,"Streptococcus satellite phage Javan600, complete genome"
MK448563,Streptococcus satellite phage Javan601,,,7858,Streptococcus thermophilus ASCC 1275,"Streptococcus satellite phage Javan601, complete genome"
MK448564,Streptococcus satellite phage Javan602,,,8057,Streptococcus thermophilus CNRZ1066,"Streptococcus satellite phage Javan602, complete genome"
MK448565,Streptococcus satellite phage Javan603,,,8057,Streptococcus thermophilus,"Streptococcus satellite phage Javan603, complete genome"
MK448566,Streptococcus satellite phage Javan604,,,7858,Streptococcus thermophilus DGCC 7710,"Streptococcus satellite phage Javan604, complete genome"
MK448567,Streptococcus satellite phage Javan605,,,7858,Streptococcus thermophilus,"Streptococcus satellite phage Javan605, complete genome"
MK448568,Streptococcus satellite phage Javan606,,,7966,Streptococcus thermophilus,"Streptococcus satellite phage Javan606, complete genome"
MK448569,Streptococcus satellite phage Javan607,,,11378,Streptococcus thermophilus LMD-9,"Streptococcus satellite phage Javan607, complete genome"
MK448570,Streptococcus satellite phage Javan608,,,7915,Streptococcus thermophilus,"Streptococcus satellite phage Javan608, complete genome"
MK448571,Streptococcus satellite phage Javan609,,,7858,Streptococcus thermophilus,"Streptococcus satellite phage Javan609, complete genome"
MK448572,Streptococcus satellite phage Javan61,,,9889,Streptococcus anginosus 1_2_62CV,"Streptococcus satellite phage Javan61, complete genome"
MK448573,Streptococcus satellite phage Javan610,,,7916,Streptococcus thermophilus MN-ZLW-002,"Streptococcus satellite phage Javan610, complete genome"
MK448574,Streptococcus satellite phage Javan611,,,7630,Streptococcus thermophilus ND03,"Streptococcus satellite phage Javan611, complete genome"
MK448575,Streptococcus satellite phage Javan612,,,7858,Streptococcus thermophilus,"Streptococcus satellite phage Javan612, complete genome"
MK448576,Streptococcus satellite phage Javan613,,,10927,Streptococcus thermophilus,"Streptococcus satellite phage Javan613, complete genome"
MK448577,Streptococcus satellite phage Javan614,,,12004,Streptococcus thermophilus TH1435,"Streptococcus satellite phage Javan614, complete genome"
MK448578,Streptococcus satellite phage Javan615,,,6041,Streptococcus thermophilus TH1477,"Streptococcus satellite phage Javan615, complete genome"
MK448579,Streptococcus satellite phage Javan619,,,12537,Streptococcus uberis 6780,"Streptococcus satellite phage Javan619, complete genome"
MK448580,Streptococcus satellite phage Javan62,,,12025,Streptococcus anginosus,"Streptococcus satellite phage Javan62, complete genome"
MK448581,Streptococcus satellite phage Javan620,,,12220,Streptococcus uberis 0140J,"Streptococcus satellite phage Javan620, complete genome"
MK448582,Streptococcus satellite phage Javan621,,,9851,Streptococcus uberis 0140J,"Streptococcus satellite phage Javan621, complete genome"
MK448583,Streptococcus satellite phage Javan622,,,12522,Streptococcus uberis Ab71,"Streptococcus satellite phage Javan622, complete genome"
MK448584,Streptococcus satellite phage Javan624,,,8156,Streptococcus uberis B362,"Streptococcus satellite phage Javan624, complete genome"
MK448585,Streptococcus satellite phage Javan625,,,12998,Streptococcus uberis B362,"Streptococcus satellite phage Javan625, complete genome"
MK448586,Streptococcus satellite phage Javan627,,,12912,Streptococcus uberis C5072,"Streptococcus satellite phage Javan627, complete genome"
MK448587,Streptococcus satellite phage Javan63,,,9459,Streptococcus anginosus,"Streptococcus satellite phage Javan63, complete genome"
MK448588,Streptococcus satellite phage Javan631,,,13147,Streptococcus uberis C8329,"Streptococcus satellite phage Javan631, complete genome"
MK448589,Streptococcus satellite phage Javan632,,,10649,Streptococcus uberis C8329,"Streptococcus satellite phage Javan632, complete genome"
MK448590,Streptococcus satellite phage Javan634,,,13519,Streptococcus uberis,"Streptococcus satellite phage Javan634, complete genome"
